,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
502,Julian Washburn,18,254,0.333,0.208,0.458,0.75,41.0,14.0,13.0,2.0,7.0,17.0
503,Yuta Watanabe,15,174,0.294,0.125,0.371,0.7,31.0,8.0,4.0,1.0,6.0,17.0
504,Thomas Welsh,11,36,0.538,0.429,0.667,0.5,4.0,5.0,0.0,0.0,1.0,17.0
505,Russell Westbrook,73,2630,0.428,0.29,0.481,0.656,807.0,784.0,142.0,33.0,325.0,17.0
506,Derrick White,67,1728,0.479,0.338,0.529,0.772,247.0,263.0,67.0,47.0,97.0,17.0
507,Okaro White,3,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0
508,Hassan Whiteside,72,1674,0.571,0.125,0.581,0.449,817.0,56.0,46.0,136.0,97.0,17.0
509,Andrew Wiggins,73,2543,0.412,0.339,0.441,0.699,352.0,184.0,70.0,48.0,138.0,17.0
510,Alan Williams,5,26,0.615,0.0,0.667,0.5,19.0,3.0,1.0,0.0,1.0,17.0
511,C.J. Williams,15,128,0.486,0.313,0.632,0.0,8.0,12.0,6.0,0.0,5.0,17.0
512,Johnathan Williams,24,372,0.591,0.0,0.602,0.563,99.0,13.0,8.0,7.0,16.0,17.0
513,Kenrich Williams,46,1079,0.384,0.333,0.447,0.684,219.0,83.0,45.0,19.0,36.0,17.0
514,Lou Williams,75,1993,0.425,0.361,0.447,0.876,222.0,402.0,57.0,11.0,181.0,17.0
515,Marvin Williams,75,2133,0.422,0.366,0.5,0.767,407.0,92.0,71.0,61.0,47.0,17.0
516,Robert Williams,32,283,0.706,0.0,0.706,0.6,81.0,7.0,9.0,40.0,10.0,17.0
517,Troy Williams,21,312,0.449,0.318,0.556,0.6,59.0,11.0,10.0,8.0,9.0,17.0
518,D.J. Wilson,48,882,0.414,0.362,0.468,0.553,222.0,52.0,18.0,20.0,32.0,17.0
519,Justise Winslow,66,1959,0.433,0.375,0.462,0.628,355.0,282.0,72.0,19.0,142.0,17.0
520,Christian Wood,21,251,0.521,0.346,0.571,0.732,83.0,8.0,7.0,10.0,17.0,17.0
521,Delon Wright,75,1699,0.434,0.298,0.492,0.793,266.0,248.0,88.0,30.0,77.0,17.0
522,Guerschon Yabusele,41,251,0.455,0.321,0.531,0.682,53.0,15.0,8.0,7.0,15.0,17.0
523,Nick Young,4,37,0.333,0.375,0.0,0.0,1.0,2.0,0.0,1.0,2.0,17.0
524,Thaddeus Young,81,2489,0.527,0.349,0.564,0.644,523.0,204.0,123.0,36.0,123.0,17.0
525,Trae Young,81,2503,0.418,0.324,0.477,0.829,301.0,653.0,72.0,15.0,308.0,17.0
526,Cody Zeller,49,1243,0.551,0.273,0.57,0.787,333.0,102.0,38.0,41.0,62.0,17.0
527,Tyler Zeller,6,93,0.533,0.0,0.552,0.778,24.0,4.0,1.0,3.0,4.0,17.0
528,Ante Žižić,59,1082,0.553,0.0,0.553,0.705,320.0,53.0,13.0,22.0,61.0,17.0
529,Ivica Zubac,59,1040,0.559,0.0,0.559,0.802,362.0,63.0,14.0,51.0,70.0,17.0
530,Steven Adams,63,1680,0.592,0.333,0.594,0.582,583.0,146.0,51.0,67.0,94.0,1146.0
531,Bam Adebayo,72,2417,0.557,0.143,0.564,0.691,735.0,368.0,82.0,93.0,204.0,1146.0
532,LaMarcus Aldridge,53,1754,0.493,0.389,0.519,0.827,392.0,129.0,36.0,87.0,74.0,1146.0
533,Kyle Alexander,2,13,0.5,0.0,0.5,0.0,3.0,0.0,0.0,0.0,1.0,1146.0
534,Nickeil Alexander-Walker,47,591,0.368,0.346,0.391,0.676,84.0,89.0,17.0,8.0,54.0,1146.0
535,Grayson Allen,38,718,0.466,0.404,0.545,0.867,85.0,52.0,10.0,2.0,33.0,1146.0
536,Jarrett Allen,70,1852,0.649,0.0,0.658,0.633,671.0,110.0,40.0,92.0,77.0,1146.0
537,Kadeem Allen,10,117,0.432,0.313,0.5,0.636,9.0,21.0,5.0,2.0,8.0,1146.0
538,Al-Farouq Aminu,18,380,0.291,0.25,0.32,0.655,87.0,21.0,18.0,8.0,17.0,1146.0
539,Justin Anderson,10,107,0.263,0.207,0.444,0.5,21.0,8.0,0.0,6.0,4.0,1146.0
540,Kyle Anderson,67,1330,0.474,0.282,0.541,0.667,285.0,162.0,54.0,37.0,66.0,1146.0
541,Ryan Anderson,2,14,0.286,0.2,0.5,0.0,7.0,2.0,1.0,0.0,1.0,1146.0
542,Giannis Antetokounmpo,63,1917,0.553,0.304,0.631,0.633,856.0,354.0,61.0,66.0,230.0,1146.0
543,Kostas Antetokounmpo,5,20,1.0,0.0,1.0,0.5,3.0,2.0,0.0,0.0,1.0,1146.0
544,Thanasis Antetokounmpo,20,129,0.5,0.0,0.632,0.412,24.0,15.0,7.0,2.0,12.0,1146.0
545,Carmelo Anthony,58,1902,0.43,0.385,0.448,0.845,368.0,85.0,49.0,27.0,100.0,1146.0
546,OG Anunoby,69,2066,0.505,0.39,0.583,0.706,364.0,108.0,96.0,45.0,79.0,1146.0
547,Ryan Arcidiacono,58,930,0.409,0.391,0.439,0.711,110.0,96.0,27.0,3.0,37.0,1146.0
548,Trevor Ariza,53,1493,0.438,0.372,0.556,0.838,246.0,91.0,69.0,15.0,56.0,1146.0
549,D.J. Augustin,57,1420,0.399,0.348,0.438,0.89,122.0,262.0,34.0,1.0,86.0,1146.0
550,Deandre Ayton,38,1236,0.546,0.231,0.553,0.753,436.0,72.0,26.0,58.0,80.0,1146.0
551,Dwayne Bacon,39,687,0.348,0.284,0.373,0.66,100.0,52.0,23.0,2.0,37.0,1146.0
552,Marvin Bagley III,13,334,0.467,0.182,0.51,0.806,97.0,10.0,6.0,12.0,18.0,1146.0
553,Lonzo Ball,63,2025,0.403,0.375,0.442,0.566,383.0,438.0,88.0,38.0,193.0,1146.0
554,Mo Bamba,62,878,0.462,0.346,0.531,0.674,302.0,42.0,23.0,86.0,42.0,1146.0
555,J.J. Barea,29,450,0.411,0.376,0.434,0.909,53.0,112.0,5.0,2.0,38.0,1146.0
556,Harrison Barnes,72,2482,0.46,0.381,0.501,0.801,355.0,159.0,43.0,12.0,88.0,1146.0
557,RJ Barrett,56,1704,0.402,0.32,0.432,0.614,279.0,143.0,55.0,17.0,124.0,1146.0
558,Will Barton,58,1916,0.45,0.375,0.498,0.767,365.0,212.0,61.0,29.0,88.0,1146.0
559,Keita Bates-Diop,44,744,0.427,0.33,0.504,0.72,127.0,30.0,19.0,24.0,17.0,1146.0
560,Nicolas Batum,22,505,0.346,0.286,0.438,0.9,100.0,66.0,17.0,8.0,22.0,1146.0
561,Aron Baynes,42,934,0.48,0.351,0.582,0.747,237.0,67.0,10.0,23.0,50.0,1146.0
562,Kent Bazemore,68,1688,0.375,0.344,0.4,0.769,294.0,93.0,74.0,40.0,91.0,1146.0
563,Darius Bazley,61,1130,0.394,0.348,0.432,0.694,246.0,41.0,23.0,41.0,45.0,1146.0
564,Bradley Beal,57,2053,0.455,0.353,0.515,0.842,242.0,347.0,71.0,23.0,194.0,1146.0
565,Malik Beasley,55,1209,0.425,0.388,0.465,0.818,148.0,75.0,40.0,8.0,57.0,1146.0
566,Marco Belinelli,57,883,0.392,0.376,0.412,0.828,99.0,69.0,12.0,1.0,19.0,1146.0
567,Jordan Bell,29,256,0.522,0.333,0.564,0.613,81.0,16.0,3.0,10.0,21.0,1146.0
568,DeAndre' Bembry,43,915,0.456,0.231,0.546,0.542,152.0,81.0,55.0,19.0,60.0,1146.0
569,Dragan Bender,16,286,0.446,0.349,0.531,0.714,73.0,28.0,4.0,9.0,21.0,1146.0
570,Dāvis Bertāns,54,1583,0.434,0.424,0.471,0.852,245.0,92.0,37.0,33.0,59.0,1146.0
571,Patrick Beverley,51,1342,0.431,0.388,0.496,0.66,266.0,183.0,54.0,25.0,66.0,1146.0
572,Khem Birch,48,922,0.51,0.0,0.514,0.653,220.0,50.0,20.0,23.0,31.0,1146.0
573,Goga Bitadze,54,471,0.467,0.19,0.574,0.727,106.0,23.0,10.0,37.0,28.0,1146.0
574,Bismack Biyombo,53,1029,0.543,0.0,0.543,0.603,308.0,50.0,10.0,49.0,48.0,1146.0
575,Nemanja Bjelica,72,2011,0.481,0.419,0.541,0.821,458.0,203.0,62.0,40.0,99.0,1146.0
576,Eric Bledsoe,61,1646,0.475,0.344,0.533,0.79,282.0,328.0,57.0,26.0,148.0,1146.0
577,Bogdan Bogdanović,61,1766,0.44,0.372,0.532,0.741,207.0,207.0,64.0,15.0,102.0,1146.0
578,Bojan Bogdanović,63,2083,0.447,0.414,0.479,0.903,259.0,131.0,34.0,7.0,159.0,1146.0
579,Bol Bol,7,87,0.5,0.444,0.526,0.8,19.0,6.0,2.0,6.0,10.0,1146.0
580,Jonah Bolden,7,47,0.364,0.0,0.571,0.5,9.0,0.0,3.0,2.0,2.0,1146.0
581,Marques Bolden,1,3,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1146.0
582,Jordan Bone,10,53,0.25,0.2,0.3,0.0,4.0,8.0,1.0,0.0,2.0,1146.0
583,Isaac Bonga,66,1250,0.504,0.352,0.571,0.812,222.0,76.0,45.0,22.0,58.0,1146.0
584,Devin Booker,70,2512,0.489,0.354,0.549,0.919,297.0,456.0,49.0,18.0,264.0,1146.0
585,Chris Boucher,62,819,0.472,0.322,0.569,0.784,277.0,26.0,22.0,61.0,28.0,1146.0
586,Brian Bowen,6,31,0.3,0.0,0.375,0.0,7.0,0.0,0.0,1.0,1.0,1146.0
587,Ky Bowman,45,1015,0.417,0.308,0.472,0.829,121.0,131.0,44.0,10.0,70.0,1146.0
588,Avery Bradley,49,1186,0.444,0.364,0.51,0.833,115.0,63.0,43.0,5.0,47.0,1146.0
589,Tony Bradley,58,663,0.667,1.0,0.661,0.652,267.0,23.0,14.0,33.0,30.0,1146.0
590,Jarrell Brantley,9,96,0.357,0.231,0.467,0.5,20.0,11.0,3.0,5.0,7.0,1146.0
591,Ignas Brazdeikis,9,53,0.273,0.111,0.385,0.8,5.0,4.0,0.0,1.0,2.0,1146.0
592,Corey Brewer,5,33,0.5,0.0,0.667,0.333,8.0,2.0,4.0,0.0,2.0,1146.0
593,Mikal Bridges,73,2042,0.51,0.361,0.61,0.844,292.0,129.0,102.0,46.0,73.0,1146.0
594,Miles Bridges,65,1995,0.424,0.33,0.486,0.809,362.0,114.0,40.0,48.0,95.0,1146.0
595,Oshae Brissett,19,135,0.361,0.2,0.476,0.8,26.0,7.0,4.0,1.0,7.0,1146.0
596,Ryan Broekhoff,17,180,0.373,0.392,0.25,0.875,43.0,11.0,5.0,4.0,6.0,1146.0
597,Malcolm Brogdon,54,1666,0.438,0.326,0.488,0.892,262.0,381.0,35.0,10.0,131.0,1146.0
598,Dillon Brooks,73,2112,0.407,0.358,0.438,0.808,243.0,150.0,63.0,27.0,124.0,1146.0
599,Bruce Brown,58,1634,0.443,0.344,0.47,0.739,274.0,230.0,63.0,29.0,100.0,1146.0
600,Charlie Brown,10,40,0.316,0.333,0.3,1.0,4.0,2.0,2.0,2.0,3.0,1146.0
601,Jaylen Brown,57,1934,0.481,0.382,0.543,0.724,364.0,118.0,65.0,20.0,125.0,1146.0
602,Moses Brown,9,33,0.4,0.0,0.4,0.375,14.0,1.0,1.0,1.0,3.0,1146.0
603,Sterling Brown,52,767,0.371,0.324,0.425,0.8,183.0,51.0,29.0,7.0,42.0,1146.0
604,Troy Brown Jr.,69,1782,0.439,0.341,0.479,0.784,383.0,178.0,85.0,7.0,79.0,1146.0
605,Jalen Brunson,57,1022,0.466,0.358,0.515,0.813,134.0,188.0,22.0,4.0,66.0,1146.0
606,Thomas Bryant,46,1147,0.581,0.407,0.63,0.741,331.0,83.0,25.0,49.0,53.0,1146.0
607,Reggie Bullock,29,684,0.402,0.333,0.469,0.81,68.0,42.0,25.0,3.0,19.0,1146.0
608,Trey Burke,33,520,0.45,0.427,0.463,0.793,50.0,83.0,16.0,2.0,21.0,1146.0
609,Alec Burks,66,1754,0.418,0.385,0.439,0.887,282.0,189.0,62.0,17.0,91.0,1146.0
610,Deonte Burton,39,356,0.344,0.189,0.458,0.571,57.0,17.0,7.0,10.0,19.0,1146.0
611,Jimmy Butler,58,1959,0.455,0.244,0.495,0.834,386.0,350.0,103.0,32.0,127.0,1146.0
612,Bruno Caboclo,30,244,0.427,0.182,0.571,0.889,60.0,12.0,15.0,17.0,13.0,1146.0
613,Devontae Cacok,1,9,0.5,0.0,0.5,0.0,5.0,1.0,0.0,0.0,0.0,1146.0
614,Kentavious Caldwell-Pope,69,1762,0.467,0.385,0.541,0.775,142.0,111.0,57.0,14.0,62.0,1146.0
615,Vlatko Čančar,14,45,0.4,0.167,0.556,1.0,10.0,3.0,1.0,1.0,3.0,1146.0
616,Clint Capela,39,1279,0.629,0.0,0.629,0.529,537.0,48.0,33.0,72.0,63.0,1146.0
617,DeMarre Carroll,24,290,0.379,0.242,0.515,0.69,55.0,25.0,8.0,5.0,17.0,1146.0
618,Jevon Carter,58,945,0.416,0.425,0.402,0.852,118.0,84.0,47.0,17.0,32.0,1146.0
619,Vince Carter,60,876,0.352,0.302,0.451,0.793,124.0,48.0,23.0,25.0,33.0,1146.0
620,Wendell Carter Jr.,43,1256,0.534,0.207,0.564,0.737,405.0,51.0,33.0,36.0,72.0,1146.0
621,Michael Carter-Williams,45,833,0.427,0.293,0.481,0.832,147.0,109.0,49.0,22.0,52.0,1146.0
622,Alex Caruso,64,1175,0.412,0.333,0.468,0.734,123.0,124.0,70.0,18.0,53.0,1146.0
623,Willie Cauley-Stein,54,1097,0.579,0.0,0.581,0.606,315.0,70.0,49.0,61.0,40.0,1146.0
624,Tyson Chandler,26,219,0.778,0.0,0.778,0.462,66.0,6.0,6.0,8.0,8.0,1146.0
625,Wilson Chandler,35,734,0.404,0.306,0.597,0.87,145.0,39.0,16.0,12.0,34.0,1146.0
626,Joe Chealey,4,33,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,1146.0
627,Zylan Cheatham,4,51,0.667,0.0,0.75,0.0,9.0,3.0,1.0,1.0,4.0,1146.0
628,Chris Chiozza,28,401,0.393,0.375,0.412,1.0,53.0,83.0,21.0,4.0,32.0,1146.0
629,Marquese Chriss,59,1196,0.545,0.205,0.584,0.769,365.0,114.0,39.0,62.0,78.0,1146.0
630,Gary Clark,42,567,0.406,0.351,0.682,0.9,110.0,17.0,6.0,22.0,10.0,1146.0
631,Brandon Clarke,58,1300,0.618,0.359,0.658,0.759,345.0,81.0,32.0,48.0,55.0,1146.0
632,Jordan Clarkson,71,1705,0.454,0.368,0.533,0.836,187.0,136.0,46.0,16.0,97.0,1146.0
633,Nicolas Claxton,15,187,0.563,0.143,0.634,0.524,44.0,16.0,1.0,8.0,9.0,1146.0
634,Chris Clemons,33,291,0.401,0.346,0.571,0.909,30.0,27.0,9.0,6.0,19.0,1146.0
635,Antonius Cleveland,11,46,0.286,0.0,0.364,0.6,7.0,1.0,1.0,3.0,2.0,1146.0
636,Amir Coffey,18,159,0.426,0.316,0.486,0.545,16.0,14.0,5.0,2.0,8.0,1146.0
637,John Collins,41,1363,0.583,0.401,0.642,0.8,416.0,60.0,31.0,66.0,75.0,1146.0
638,Zach Collins,11,290,0.471,0.368,0.51,0.75,69.0,16.0,5.0,5.0,14.0,1146.0
639,Mike Conley,47,1363,0.409,0.375,0.437,0.827,151.0,208.0,36.0,5.0,92.0,1146.0
640,Pat Connaughton,67,1243,0.455,0.331,0.607,0.775,284.0,107.0,25.0,31.0,52.0,1146.0
641,Quinn Cook,44,508,0.425,0.365,0.465,0.786,51.0,49.0,12.0,2.0,33.0,1146.0
642,Tyler Cook,13,54,0.667,0.0,0.667,0.875,14.0,1.0,3.0,0.0,3.0,1146.0
643,Robert Covington,70,2137,0.422,0.335,0.593,0.798,463.0,88.0,115.0,93.0,103.0,1146.0
644,Allen Crabbe,37,653,0.356,0.303,0.466,0.714,77.0,33.0,15.0,4.0,17.0,1146.0
645,Torrey Craig,58,1072,0.461,0.326,0.603,0.611,189.0,47.0,23.0,36.0,25.0,1146.0
646,Jamal Crawford,1,6,0.5,0.5,0.5,0.0,0.0,3.0,0.0,0.0,0.0,1146.0
647,Jae Crowder,65,1875,0.401,0.343,0.538,0.776,384.0,161.0,72.0,24.0,69.0,1146.0
648,Jarrett Culver,63,1506,0.404,0.299,0.471,0.462,212.0,110.0,57.0,38.0,81.0,1146.0
649,Seth Curry,64,1576,0.495,0.452,0.549,0.825,145.0,124.0,38.0,9.0,62.0,1146.0
650,Stephen Curry,5,139,0.402,0.245,0.636,1.0,26.0,33.0,5.0,2.0,16.0,1146.0
651,Troy Daniels,47,532,0.387,0.348,0.481,0.625,52.0,17.0,11.0,3.0,12.0,1146.0
652,Anthony Davis,62,2131,0.503,0.33,0.546,0.846,577.0,200.0,91.0,143.0,154.0,1146.0
653,Ed Davis,28,303,0.478,0.0,0.478,0.5,105.0,12.0,11.0,9.0,13.0,1146.0
654,Terence Davis,72,1209,0.456,0.388,0.541,0.864,237.0,115.0,39.0,14.0,76.0,1146.0
655,Dewayne Dedmon,44,774,0.4,0.206,0.541,0.833,249.0,22.0,25.0,41.0,57.0,1146.0
656,Matthew Dellavedova,57,821,0.354,0.231,0.488,0.865,75.0,180.0,20.0,2.0,59.0,1146.0
657,DeMar DeRozan,68,2316,0.531,0.257,0.54,0.845,375.0,380.0,70.0,20.0,164.0,1146.0
658,Cheick Diallo,47,479,0.648,0.333,0.655,0.872,131.0,22.0,11.0,12.0,32.0,1146.0
659,Hamidou Diallo,46,896,0.446,0.281,0.485,0.603,167.0,36.0,37.0,9.0,51.0,1146.0
660,Gorgui Dieng,63,1096,0.456,0.355,0.528,0.772,354.0,73.0,51.0,59.0,60.0,1146.0
661,Spencer Dinwiddie,64,1994,0.415,0.308,0.485,0.778,221.0,432.0,40.0,21.0,174.0,1146.0
662,Donte DiVincenzo,66,1520,0.455,0.336,0.567,0.733,318.0,154.0,85.0,20.0,90.0,1146.0
663,Luka Dončić,61,2047,0.463,0.316,0.574,0.758,573.0,538.0,62.0,14.0,260.0,1146.0
664,Luguentz Dort,36,820,0.394,0.297,0.479,0.792,81.0,27.0,31.0,4.0,22.0,1146.0
665,Damyean Dotson,48,836,0.414,0.362,0.48,0.667,91.0,57.0,23.0,4.0,21.0,1146.0
666,Sekou Doumbouya,38,754,0.39,0.286,0.464,0.674,118.0,19.0,20.0,8.0,35.0,1146.0
667,PJ Dozier,29,412,0.414,0.347,0.444,0.724,55.0,63.0,14.0,6.0,27.0,1146.0
668,Goran Dragić,59,1663,0.441,0.367,0.505,0.776,187.0,301.0,40.0,10.0,144.0,1146.0
669,Andre Drummond,57,1879,0.533,0.143,0.551,0.575,864.0,152.0,109.0,93.0,203.0,1146.0
670,Jared Dudley,45,364,0.4,0.429,0.333,1.0,52.0,28.0,15.0,3.0,8.0,1146.0
671,Kris Dunn,51,1269,0.444,0.259,0.535,0.741,186.0,173.0,101.0,17.0,68.0,1146.0
672,Carsen Edwards,37,351,0.328,0.316,0.346,0.684,47.0,24.0,12.0,4.0,15.0,1146.0
673,Henry Ellenson,5,15,0.143,0.0,0.333,0.0,6.0,1.0,0.0,0.0,0.0,1146.0
674,Wayne Ellington,36,558,0.351,0.35,0.355,0.846,65.0,44.0,13.0,4.0,18.0,1146.0
675,Joel Embiid,51,1506,0.477,0.331,0.517,0.807,593.0,152.0,45.0,65.0,159.0,1146.0
676,James Ennis,69,1265,0.446,0.325,0.553,0.806,245.0,63.0,35.0,22.0,58.0,1146.0
677,Drew Eubanks,22,272,0.642,1.0,0.636,0.769,85.0,15.0,5.0,17.0,21.0,1146.0
678,Jacob Evans,29,418,0.336,0.333,0.337,0.862,41.0,31.0,11.0,12.0,25.0,1146.0
679,Dante Exum,35,485,0.471,0.349,0.539,0.744,67.0,40.0,13.0,8.0,31.0,1146.0
680,Tacko Fall,7,33,0.786,0.0,0.786,0.333,15.0,1.0,1.0,4.0,3.0,1146.0
681,Derrick Favors,51,1243,0.617,0.143,0.627,0.563,501.0,81.0,30.0,46.0,55.0,1146.0
682,Cristiano Felício,22,386,0.63,0.0,0.654,0.783,102.0,16.0,10.0,2.0,18.0,1146.0
683,Terrance Ferguson,56,1257,0.355,0.292,0.558,0.75,74.0,51.0,27.0,17.0,31.0,1146.0
684,Bruno Fernando,56,713,0.518,0.135,0.605,0.569,198.0,49.0,18.0,17.0,42.0,1146.0
685,Yogi Ferrell,50,530,0.42,0.304,0.505,0.857,49.0,69.0,18.0,4.0,28.0,1146.0
686,Dorian Finney-Smith,71,2120,0.466,0.376,0.589,0.722,405.0,114.0,45.0,39.0,69.0,1146.0
687,Bryn Forbes,63,1579,0.417,0.388,0.47,0.833,126.0,108.0,33.0,0.0,57.0,1146.0
688,Evan Fournier,66,2076,0.467,0.399,0.527,0.818,171.0,209.0,71.0,15.0,125.0,1146.0
689,De'Aaron Fox,51,1634,0.48,0.292,0.535,0.705,196.0,348.0,74.0,25.0,158.0,1146.0
690,Melvin Frazier,19,126,0.441,0.5,0.389,0.5,10.0,3.0,9.0,2.0,5.0,1146.0
691,Michael Frazier,13,145,0.241,0.174,0.5,0.643,10.0,2.0,2.0,0.0,5.0,1146.0
692,Tim Frazier,27,355,0.362,0.333,0.375,0.792,33.0,93.0,14.0,4.0,36.0,1146.0
693,Markelle Fultz,72,1996,0.465,0.267,0.507,0.73,238.0,369.0,90.0,11.0,147.0,1146.0
694,Wenyen Gabriel,30,235,0.438,0.3,0.536,0.682,52.0,8.0,11.0,7.0,16.0,1146.0
695,Daniel Gafford,43,609,0.701,0.0,0.701,0.533,106.0,21.0,13.0,56.0,29.0,1146.0
696,Danilo Gallinari,62,1834,0.438,0.405,0.476,0.893,322.0,119.0,42.0,5.0,76.0,1146.0
697,Langston Galloway,66,1702,0.435,0.399,0.493,0.859,149.0,101.0,48.0,11.0,40.0,1146.0
698,Darius Garland,59,1824,0.401,0.355,0.434,0.875,111.0,229.0,42.0,4.0,151.0,1146.0
699,Marc Gasol,44,1161,0.427,0.385,0.473,0.735,275.0,147.0,34.0,38.0,59.0,1146.0
700,Rudy Gay,67,1461,0.446,0.336,0.511,0.882,362.0,114.0,35.0,33.0,88.0,1146.0
701,Paul George,48,1419,0.439,0.412,0.464,0.876,272.0,185.0,68.0,20.0,125.0,1146.0
702,Taj Gibson,62,1025,0.584,0.286,0.599,0.732,267.0,52.0,27.0,30.0,47.0,1146.0
703,Harry Giles,46,667,0.554,0.0,0.558,0.776,188.0,60.0,22.0,18.0,44.0,1146.0
704,Shai Gilgeous-Alexander,70,2428,0.471,0.347,0.512,0.807,412.0,232.0,79.0,47.0,134.0,1146.0
705,Rudy Gobert,68,2333,0.693,0.0,0.693,0.63,916.0,101.0,51.0,135.0,130.0,1146.0
706,Brandon Goodwin,34,430,0.4,0.299,0.485,0.933,72.0,51.0,12.0,4.0,29.0,1146.0
707,Aaron Gordon,62,2017,0.437,0.308,0.494,0.674,475.0,228.0,51.0,39.0,100.0,1146.0
708,Eric Gordon,36,1016,0.369,0.317,0.469,0.766,71.0,54.0,23.0,13.0,43.0,1146.0
709,Devonte' Graham,63,2211,0.382,0.373,0.397,0.82,212.0,471.0,62.0,15.0,181.0,1146.0
710,Treveon Graham,55,929,0.36,0.275,0.443,0.643,150.0,45.0,24.0,6.0,29.0,1146.0
711,Jerami Grant,71,1892,0.478,0.389,0.537,0.75,248.0,88.0,50.0,57.0,63.0,1146.0
712,Jerian Grant,6,80,0.37,0.25,0.421,0.714,6.0,9.0,1.0,1.0,3.0,1146.0
713,Josh Gray,2,23,0.5,0.0,0.5,0.0,2.0,2.0,0.0,0.0,5.0,1146.0
714,Danny Green,68,1687,0.416,0.367,0.524,0.688,225.0,91.0,85.0,32.0,63.0,1146.0
715,Draymond Green,43,1222,0.389,0.279,0.465,0.759,266.0,266.0,59.0,33.0,98.0,1146.0
716,JaMychal Green,63,1307,0.429,0.387,0.518,0.75,388.0,49.0,29.0,24.0,54.0,1146.0
717,Javonte Green,48,468,0.5,0.273,0.581,0.667,93.0,26.0,24.0,8.0,23.0,1146.0
718,Jeff Green,48,960,0.462,0.339,0.602,0.802,133.0,50.0,26.0,19.0,42.0,1146.0
719,Blake Griffin,18,512,0.352,0.243,0.439,0.776,84.0,59.0,7.0,7.0,40.0,1146.0
720,Marko Guduric,44,484,0.395,0.301,0.5,0.923,73.0,45.0,12.0,8.0,36.0,1146.0
721,Kyle Guy,3,10,0.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1146.0
722,Rui Hachimura,48,1444,0.466,0.287,0.5,0.829,294.0,87.0,37.0,8.0,53.0,1146.0
723,Devon Hall,11,81,0.2,0.235,0.154,0.5,7.0,13.0,4.0,1.0,5.0,1146.0
724,Donta Hall,9,133,0.682,0.0,0.682,0.5,38.0,4.0,3.0,6.0,5.0,1146.0
725,Dusty Hannahs,2,13,0.444,0.667,0.333,1.0,1.0,0.0,0.0,0.0,0.0,1146.0
726,Tim Hardaway Jr.,71,2091,0.434,0.398,0.485,0.819,232.0,137.0,41.0,5.0,69.0,1146.0
727,James Harden,68,2483,0.444,0.355,0.556,0.865,446.0,512.0,125.0,60.0,308.0,1146.0
728,Maurice Harkless,62,1427,0.502,0.347,0.584,0.591,240.0,68.0,58.0,33.0,53.0,1146.0
729,Jared Harper,3,8,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1146.0
730,Montrezl Harrell,63,1749,0.58,0.0,0.593,0.658,445.0,107.0,39.0,72.0,108.0,1146.0
731,Gary Harris,56,1780,0.42,0.333,0.479,0.815,163.0,118.0,76.0,14.0,60.0,1146.0
732,Joe Harris,69,2123,0.486,0.424,0.553,0.719,298.0,144.0,41.0,17.0,104.0,1146.0
733,Tobias Harris,72,2469,0.471,0.367,0.517,0.806,495.0,227.0,53.0,40.0,104.0,1146.0
734,Shaquille Harrison,43,484,0.467,0.381,0.496,0.78,86.0,49.0,34.0,19.0,19.0,1146.0
735,Josh Hart,65,1755,0.423,0.342,0.584,0.739,425.0,108.0,63.0,23.0,75.0,1146.0
736,Isaiah Hartenstein,23,266,0.657,0.0,0.71,0.679,90.0,18.0,9.0,12.0,16.0,1146.0
737,Udonis Haslem,4,44,0.364,0.333,0.375,0.75,16.0,1.0,0.0,0.0,1.0,1146.0
738,Jaxson Hayes,64,1080,0.672,0.25,0.678,0.647,259.0,56.0,26.0,55.0,53.0,1146.0
739,Gordon Hayward,52,1740,0.5,0.383,0.554,0.855,348.0,212.0,38.0,22.0,96.0,1146.0
740,John Henson,40,600,0.556,0.222,0.644,0.5,162.0,54.0,24.0,42.0,36.0,1146.0
741,Dewan Hernandez,6,28,0.357,0.5,0.333,0.6,14.0,3.0,1.0,0.0,3.0,1146.0
742,Juan Hernangómez,48,833,0.405,0.341,0.475,0.62,197.0,40.0,19.0,9.0,32.0,1146.0
743,Willy Hernangómez,31,375,0.532,0.227,0.59,0.627,134.0,29.0,10.0,7.0,30.0,1146.0
744,Tyler Herro,55,1508,0.428,0.389,0.462,0.87,224.0,121.0,34.0,9.0,87.0,1146.0
745,Kevin Hervey,10,52,0.259,0.15,0.571,0.0,12.0,5.0,1.0,1.0,0.0,1146.0
746,Mario Hezonja,53,871,0.422,0.308,0.486,0.814,184.0,50.0,36.0,9.0,42.0,1146.0
747,Buddy Hield,72,2216,0.429,0.394,0.479,0.846,328.0,213.0,66.0,17.0,168.0,1146.0
748,George Hill,59,1271,0.516,0.46,0.565,0.842,177.0,180.0,47.0,5.0,57.0,1146.0
